TradingDate	|Market	|Suffix	|Remark				|NaturalDate
2017-04-19	|郑商所	|CZCE	|上白糖期权，关闭	|2017-04-18
2017-03-31	|大商所	|DCE	|上豆粕期权，关闭	|2017-03-30
