202202.SH,2010/04/26,0,0.02,0,0
202202.SH,2010/10/21,0,0.03,0,0
202202.SH,2011/01/19,0,0.03,0,0
202211.SH,2009/12/14,0,0.02,0,0
202211.SH,2010/09/03,0,0.02,0,0
202211.SH,2011/01/13,0,0.014,0,0
206001.SH,2004/02/12,0,0.015,0,0
206001.SH,2004/02/27,0,0.02,0,0
206001.SH,2004/04/02,0,0.025,0,0
206001.SH,2006/05/29,0,0.03,0,0
206001.SH,2006/06/14,0,0.03,0,0
206001.SH,2006/08/30,0,0.03,0,0
206001.SH,2008/03/10,0,0,3.625,0
206001.SH,2010/01/22,0,0.01,0,0
206001.SH,2011/03/07,0,0.05,0,0
210001.SH,2003/12/24,0,0.01,0,0
210001.SH,2004/01/29,0,0.04,0,0
210001.SH,2004/03/15,0,0.04,0,0
210001.SH,2007/04/09,0,1.03,0,0
210001.SH,2007/11/26,0,0,1.526,0
210001.SH,2008/01/10,0,0.08,0,0
210001.SH,2010/01/18,0,0.075,0,0
210001.SH,2011/01/11,0,0.01,0,0
210002.SH,2009/04/01,0,0.088,0,0
210002.SH,2009/08/03,0,0.2,0,0
210002.SH,2010/09/15,0,0.1,0,0
210003.SH,2010/12/13,0,0.03,0,0
210004.SH,2010/08/23,0,0.03,0,0
210004.SH,2010/11/12,0,0.1,0,0
210004.SH,2010/12/10,0,0.05,0,0
213001.SH,2003/03/10,0,0.005,0,0
213001.SH,2003/08/08,0,0.015,0,0
213001.SH,2003/12/29,0,0.02,0,0
213001.SH,2004/02/10,0,0.03,0,0
213001.SH,2004/04/09,0,0.06,0,0
213001.SH,2006/04/24,0,0.06,0,0
213001.SH,2007/02/02,0,1.1,0,0
213001.SH,2007/06/04,0,0.35,0,0
213001.SH,2008/03/04,0,0,1.365,0
213002.SH,2005/08/24,0,0.03,0,0
213002.SH,2006/01/18,0,0.03,0,0
213002.SH,2006/02/17,0,0.03,0,0
213002.SH,2006/04/24,0,0.06,0,0
213002.SH,2006/12/13,0,0.7,0,0
213002.SH,2007/06/11,0,0,1.734,0
213002.SH,2007/10/29,0,0.2,0,0
213003.SH,2007/09/20,0,0.2,0,0
213003.SH,2009/08/10,0,0.2,0,0
213006.SH,2009/07/14,0,0.03,0,0
213006.SH,2009/07/27,0,0.03,0,0
213006.SH,2009/08/07,0,0.03,0,0
213006.SH,2009/08/20,0,0.01,0,0
213006.SH,2009/10/27,0,0.02,0,0
213006.SH,2009/11/12,0,0.04,0,0
213006.SH,2009/11/26,0,0.02,0,0
213006.SH,2009/12/11,0,0.02,0,0
213007.SH,2009/04/29,0,0.007,0,0
213007.SH,2009/12/30,0,0.031,0,0
213007.SH,2010/06/29,0,0.039,0,0
213007.SH,2010/12/06,0,0.1,0,0
213007.SH,2011/06/22,0,0.075,0,0
213008.SH,2008/06/25,0,0,1.088,0
213008.SH,2008/06/27,0,0,0,0
213008.SH,2009/03/13,0,0,0.007,0
213008.SH,2009/07/15,0,0,0.007,0
213008.SH,2010/01/18,0,0.17,0,0
213917.SH,2009/04/29,0,0.007,0,0
213917.SH,2009/12/30,0,0.031,0,0
213917.SH,2010/06/29,0,0.039,0,0
213917.SH,2010/12/06,0,0.1,0,0
213917.SH,2011/06/22,0,0.075,0,0
217001.SH,2003/12/16,0,0.015,0,0
217001.SH,2004/03/31,0,0.08,0,0
217001.SH,2004/12/22,0,0.02,0,0
217001.SH,2006/04/25,0,0.03,0,0
217001.SH,2006/06/06,0,0.08,0,0
217001.SH,2007/04/10,0,0.6,0,0
217001.SH,2007/12/04,0,0,2.789,0
217001.SH,2010/01/05,0,0.26,0,0
217001.SH,2011/01/06,0,0.13,0,0
217002.SH,2003/12/24,0,0.01,0,0
217002.SH,2004/04/20,0,0.1,0,0
217002.SH,2006/04/18,0,0.025,0,0
217002.SH,2006/06/06,0,0.06,0,0
217002.SH,2007/04/10,0,0.42,0,0
217002.SH,2010/01/05,0,0.53,0,0
217002.SH,2011/01/06,0,0.27,0,0
217003.SH,2004/03/16,0,0.015,0,0
217003.SH,2005/04/21,0,0.015,0,0
217003.SH,2005/08/10,0,0.03,0,0
